SID,name,basin,season,time,time_naive,lat,lon,wind_knots,pres_hpa,era5_msl_hpa,era5_sst_c,era5_u10,era5_v10,era5_wind10_ms
2018362S13147,PENNY,SP,2019,2019-01-01 00:00:00+00:00,2019-01-01 00:00:00,-12.7,141.1,45.0,993.0,993.4134,30.179186,3.3853858,-6.169831,7.391172
2018362S13147,PENNY,SP,2019,2019-01-01 21:00:00+00:00,2019-01-01 21:00:00,-12.8635,144.192,35.0,995.0,996.8833,28.829124,-9.624724,4.3156295,10.823935
2018362S13147,PENNY,SP,2019,2019-01-02 00:00:00+00:00,2019-01-02 00:00:00,-12.83,144.795,40.0,995.0,997.46814,28.979794,-3.836649,8.674401,9.627044
2018362S13147,PENNY,SP,2019,2019-01-02 03:00:00+00:00,2019-01-02 03:00:00,-12.8944,145.381,40.0,994.0,997.4293,29.181747,4.410073,10.244809,11.2561655
2018362S13147,PENNY,SP,2019,2019-01-02 06:00:00+00:00,2019-01-02 06:00:00,-13.0,146.05,40.0,994.0,997.2561,29.406452,7.542395,10.799356,13.175702
2018362S13147,PENNY,SP,2019,2019-01-02 09:00:00+00:00,2019-01-02 09:00:00,-13.0935,146.822,42.0,993.0,997.8363,29.158653,8.910045,12.939229,15.93991
2018362S13147,PENNY,SP,2019,2019-01-02 12:00:00+00:00,2019-01-02 12:00:00,-13.2,147.75,45.0,992.0,995.37683,29.13692,5.8935394,8.180145,10.235083
2018362S13147,PENNY,SP,2019,2019-01-02 15:00:00+00:00,2019-01-02 15:00:00,-13.2691,148.822,45.0,992.0,992.3246,29.074825,8.918365,3.1484337,10.084304
2018362S13147,PENNY,SP,2019,2019-01-02 18:00:00+00:00,2019-01-02 18:00:00,-13.45,150.05,45.0,992.0,990.9081,29.298756,9.865576,0.34395263,10.236445
2018362S13147,PENNY,SP,2019,2019-01-02 21:00:00+00:00,2019-01-02 21:00:00,-13.8439,151.41,45.0,993.0,992.66394,29.442244,8.427136,-2.6303914,9.48245
2018362S13147,PENNY,SP,2019,2019-01-02 22:00:00+00:00,2019-01-02 22:00:00,-14.0515,151.73,45.0,994.0,993.1051,29.072006,5.9846406,-3.8855247,7.4241586
2018362S13147,PENNY,SP,2019,2019-01-02 23:00:00+00:00,2019-01-02 23:00:00,-14.1593,152.004,45.0,994.0,993.5721,29.114191,10.349651,-2.263139,10.615073
2018362S13147,PENNY,SP,2019,2019-01-03 00:00:00+00:00,2019-01-03 00:00:00,-14.265,152.265,45.0,995.0,993.6411,29.146023,12.610499,-2.0380418,12.814862
2018362S13147,PENNY,SP,2019,2019-01-03 03:00:00+00:00,2019-01-03 03:00:00,-14.6359,153.141,45.0,993.0,991.7589,28.610174,10.905062,-6.465184,12.988185
2018362S13147,PENNY,SP,2019,2019-01-03 04:30:00+00:00,2019-01-03 04:30:00,-14.834,153.402,45.0,992.0,990.0509,28.536882,11.7080145,-2.4485722,12.266774
2018362S13147,PENNY,SP,2019,2019-01-03 06:00:00+00:00,2019-01-03 06:00:00,-14.9,153.65,45.0,992.0,989.7638,28.506666,12.260761,-3.0557733,12.950096
2018362S13147,PENNY,SP,2019,2019-01-03 07:30:00+00:00,2019-01-03 07:30:00,-14.9571,153.956,46.0,991.0,990.8633,28.417227,14.149186,-6.421273,15.663918
2018362S13147,PENNY,SP,2019,2019-01-03 09:00:00+00:00,2019-01-03 09:00:00,-15.1574,154.301,47.0,991.0,990.77277,28.312828,11.491211,-10.986127,15.975029
2018362S13147,PENNY,SP,2019,2019-01-03 12:00:00+00:00,2019-01-03 12:00:00,-15.35,154.65,50.0,990.0,990.95575,28.21858,8.547399,-11.352825,14.678471
2018362S13147,PENNY,SP,2019,2019-01-03 15:00:00+00:00,2019-01-03 15:00:00,-15.5537,155.201,52.0,988.0,987.3249,28.13708,1.746826,-15.970801,16.355312
2018362S13147,PENNY,SP,2019,2019-01-03 18:00:00+00:00,2019-01-03 18:00:00,-15.7,155.45,55.0,987.0,985.63306,28.120924,2.0029304,-16.406649,16.963099
2018362S13147,PENNY,SP,2019,2019-01-03 21:00:00+00:00,2019-01-03 21:00:00,-15.84,155.673,55.0,987.0,988.7181,28.088713,4.160175,-17.01153,18.04735
2018362S13147,PENNY,SP,2019,2019-01-04 00:00:00+00:00,2019-01-04 00:00:00,-15.95,155.85,55.0,987.0,992.5097,28.029478,-2.5786805,-15.501739,15.97501
2018362S13147,PENNY,SP,2019,2019-01-04 03:00:00+00:00,2019-01-04 03:00:00,-16.0075,155.944,52.0,988.0,991.60376,28.037416,-2.004126,-15.371101,15.556634
2018362S13147,PENNY,SP,2019,2019-01-04 06:00:00+00:00,2019-01-04 06:00:00,-16.0,156.0,50.0,990.0,990.6175,28.069244,-0.24645996,-14.442917,14.44502
2018362S13147,PENNY,SP,2019,2019-01-04 09:00:00+00:00,2019-01-04 09:00:00,-16.0325,155.983,47.0,991.0,992.9142,28.047531,-0.10728251,-13.016304,13.184608
2018362S13147,PENNY,SP,2019,2019-01-04 12:00:00+00:00,2019-01-04 12:00:00,-16.1,155.9,45.0,992.0,993.5101,27.9844,-8.913954,-9.394391,13.218762
2018362S13147,PENNY,SP,2019,2019-01-04 15:00:00+00:00,2019-01-04 15:00:00,-16.0075,155.821,45.0,992.0,990.81854,27.974262,-4.447229,-6.168134,7.6905184
2018362S13147,PENNY,SP,2019,2019-01-04 18:00:00+00:00,2019-01-04 18:00:00,-15.9,155.75,45.0,992.0,989.7814,28.016315,1.4479675,-3.9389892,5.5690393
2018362S13147,PENNY,SP,2019,2019-01-04 21:00:00+00:00,2019-01-04 21:00:00,-15.8175,155.739,42.0,992.0,992.0414,28.076717,3.297692,-4.5424,6.5959654
2018362S13147,PENNY,SP,2019,2019-01-05 00:00:00+00:00,2019-01-05 00:00:00,-15.75,155.7,40.0,993.0,992.44824,27.66441,3.0879822,-2.7706695,4.808978
2018362S13147,PENNY,SP,2019,2019-01-05 03:00:00+00:00,2019-01-05 03:00:00,-15.7175,155.796,40.0,993.0,991.7295,27.683382,4.912925,-0.2754701,5.4339695
2018362S13147,PENNY,SP,2019,2019-01-05 06:00:00+00:00,2019-01-05 06:00:00,-15.75,155.95,40.0,993.0,991.8007,27.664215,7.4747252,-7.745276,10.860464
2018362S13147,PENNY,SP,2019,2019-01-05 09:00:00+00:00,2019-01-05 09:00:00,-15.8025,156.086,40.0,993.0,993.8504,27.665436,6.3149915,-10.750398,12.66276
2018362S13147,PENNY,SP,2019,2019-01-05 12:00:00+00:00,2019-01-05 12:00:00,-15.9,156.1,40.0,994.0,995.96936,27.635544,1.9452747,-11.626138,12.160698
2018362S13147,PENNY,SP,2019,2019-01-05 15:00:00+00:00,2019-01-05 15:00:00,-16.1349,156.062,42.0,993.0,994.6192,27.556107,1.9999382,-9.39768,10.082323
2018362S13147,PENNY,SP,2019,2019-01-05 18:00:00+00:00,2019-01-05 18:00:00,-16.35,155.95,45.0,992.0,994.8559,27.532965,0.85569155,-10.007537,10.354588
2018362S13147,PENNY,SP,2019,2019-01-05 21:00:00+00:00,2019-01-05 21:00:00,-16.5977,155.733,45.0,992.0,997.3402,27.627327,-1.1317719,-8.413918,8.9288225
2018362S13147,PENNY,SP,2019,2019-01-06 00:00:00+00:00,2019-01-06 00:00:00,-16.95,155.15,45.0,992.0,998.1559,27.24854,-5.1049547,-1.8748425,6.0184903
2018362S13147,PENNY,SP,2019,2019-01-06 03:00:00+00:00,2019-01-06 03:00:00,-17.0187,154.902,42.0,993.0,996.8111,27.27226,-7.0399895,-1.4584099,7.3176556
2018362S13147,PENNY,SP,2019,2019-01-06 06:00:00+00:00,2019-01-06 06:00:00,-17.0,154.65,40.0,995.0,996.5,27.439167,-8.533801,1.2402222,8.743642
2018362S13147,PENNY,SP,2019,2019-01-06 09:00:00+00:00,2019-01-06 09:00:00,-16.9312,154.632,37.0,995.0,998.2459,27.43192,-8.650144,-0.7187424,8.800318
2018362S13147,PENNY,SP,2019,2019-01-06 12:00:00+00:00,2019-01-06 12:00:00,-17.0,154.55,35.0,996.0,1000.38837,27.533697,-5.1661224,-1.1974732,5.4557734
2018362S13147,PENNY,SP,2019,2019-01-06 15:00:00+00:00,2019-01-06 15:00:00,-17.2099,154.398,35.0,996.0,998.5507,27.688318,-4.9834094,-1.9914885,5.588301
2018362S13147,PENNY,SP,2019,2019-01-06 18:00:00+00:00,2019-01-06 18:00:00,-17.5,154.1,35.0,996.0,998.4564,27.714947,-6.320163,-4.010727,7.514894
2018362S13147,PENNY,SP,2019,2019-01-06 21:00:00+00:00,2019-01-06 21:00:00,-17.698,153.662,35.0,995.0,1000.41943,27.464687,-6.274792,-0.5199985,6.5669055
2018362S13147,PENNY,SP,2019,2019-01-07 00:00:00+00:00,2019-01-07 00:00:00,-17.85,153.2,35.0,995.0,1000.48956,27.23359,-1.9714191,1.1646985,2.8280525
2018362S13147,PENNY,SP,2019,2019-01-07 03:00:00+00:00,2019-01-07 03:00:00,-18.0036,152.852,37.0,993.0,999.3848,27.209764,0.1889471,-2.627397,2.7292144
2018362S13147,PENNY,SP,2019,2019-01-07 06:00:00+00:00,2019-01-07 06:00:00,-18.15,152.55,40.0,992.0,997.8752,27.131832,3.5946186,-2.9472413,5.1440496
2018362S13147,PENNY,SP,2019,2019-01-07 09:00:00+00:00,2019-01-07 09:00:00,-18.2924,152.25,37.0,994.0,999.4297,27.032745,3.7391791,-0.4497172,4.344454
