era5_sst_c,era5_msl_hpa,era5_wind10_ms,lat,lon,month_sin,month_cos,era5_u10,era5_v10,basin_NI,basin_SI,basin_SP,basin_WP,basin_nan,target
29.43904,1004.2109,1.2724291,4.4,148.1,0.49999999999999994,0.8660254037844387,0.97988284,-0.7804596,False,False,False,True,False,15.0
27.794008,989.7839,16.35155,21.004,142.716,-0.8660254037844386,0.5000000000000001,-6.251098,15.035321,False,False,False,True,False,120.0
29.708376,994.64453,10.39024,15.3,128.825,-0.8660254037844386,0.5000000000000001,-5.0754533,-7.800862,False,False,False,True,False,160.0
30.318739,1006.87854,6.7938437,-7.79245,164.35,-0.5000000000000004,0.8660254037844384,6.6126475,-1.5445251,False,False,True,False,False,17.0
24.427553,1015.9022,4.7799253,24.3005,-136.497,-1.0,-1.8369701987210297e-16,-3.294788,-3.4249656,False,False,False,False,False,25.0
27.828493,1001.88776,4.9339247,-11.3051,109.453,-2.4492935982947064e-16,1.0,2.3352199,4.0507174,False,True,False,False,False,42.0
27.324127,1012.6836,3.3754518,18.7,-146.0,-1.0,-1.8369701987210297e-16,-3.372043,0.14208679,False,False,False,False,False,20.0
28.98229,999.0726,4.7355556,21.5331,113.961,-0.8660254037844384,-0.5000000000000004,-3.0466046,0.7459814,False,False,False,True,False,59.0
26.662067,1007.232,7.613714,17.8,-132.0,-1.0,-1.8369701987210297e-16,-7.578656,-0.6115875,False,False,False,False,False,40.0
29.701845,996.4039,7.418171,19.6252,-86.1205,-0.8660254037844386,0.5000000000000001,-0.2678532,5.0588956,False,False,False,False,True,70.0
29.176458,1001.9809,8.231018,-16.325,64.1087,0.8660254037844386,0.5000000000000001,-1.2065016,-7.6579986,False,True,False,False,False,47.0
28.883326,1003.4057,10.974445,-14.7,62.7,1.0,6.123233995736766e-17,3.4135401,-10.249733,False,True,False,False,False,35.0
26.437115,1005.97186,9.8111725,20.0,-30.1,-1.0,-1.8369701987210297e-16,-1.0645844,-9.740308,False,False,False,False,True,45.0
26.752953,1011.6302,1.2423036,21.0497,-39.0724,-1.0,-1.8369701987210297e-16,-0.4293058,-0.89645725,False,False,False,False,True,25.0
26.778347,1009.4177,2.7764359,18.0423,-114.765,-0.5000000000000001,-0.8660254037844386,-2.4616635,1.1149848,False,False,False,False,False,25.0
28.228971,981.3204,12.443859,-14.8,173.374,-2.4492935982947064e-16,1.0,-3.442942,-11.151773,False,False,True,False,False,127.0
27.066988,987.865,17.620584,19.55,63.05,-0.8660254037844386,0.5000000000000001,-2.573144,16.688381,True,False,False,False,False,100.0
27.096603,1012.51575,4.066786,20.62,-39.7925,-1.0,-1.8369701987210297e-16,-3.331639,2.2381427,False,False,False,False,True,25.0
26.09646,998.5283,10.189293,16.7,-142.7,-0.5000000000000001,-0.8660254037844386,-8.356874,2.0158496,False,False,False,False,False,100.0
27.266638,1009.2121,4.1396074,15.6451,-126.73,-0.5000000000000001,-0.8660254037844386,1.557805,2.9327443,False,False,False,False,False,25.0
28.151373,1010.4511,2.9347916,28.8,-60.0,-1.0,-1.8369701987210297e-16,2.8739593,0.5469971,False,False,False,False,True,30.0
29.34467,989.6757,7.2626324,18.5237,152.509,-0.5000000000000004,0.8660254037844384,2.681837,6.259521,False,False,False,True,False,92.0
28.515465,985.9934,15.595145,-15.55,54.15,1.0,6.123233995736766e-17,12.139366,-2.3898706,False,True,False,False,False,70.0
28.436773,1006.14746,4.5275345,11.2,62.6,-0.5000000000000004,0.8660254037844384,-2.263985,-3.8738348,True,False,False,False,False,20.0
30.421864,1008.3854,8.396377,18.0937,129.615,-0.5000000000000001,-0.8660254037844386,-2.103948,8.090496,False,False,False,True,False,22.0
